2018.07.14.09.59,L-RPM,R-RPM,L1-AMP,L2-AMP,L3-AMP,L4-AMP,L1-V,L2-V,L3-V,L4-V,R1-AMP,R2-AMP,R3-AMP,R4-AMP,R1-V,R2-V,R3-V,R4-V,Elev_1-AMP,Elev_2-AMP,Elev_1-V,Elev_2-V,Intake_L-AMP,Intake_R-AMP,Climber_1-AMP,Climber_2-AMP,BATTERY
07.14.09.59.16.990,0.1396484375,0.121826171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.429139404296874
07.14.09.59.17.115,0.14990234375,0.137451171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.435421875
07.14.09.59.17.240,0.1044921875,0.102294921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.441704345703124
07.14.09.59.17.365,0.0673828125,0.0576171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.454269287109375
07.14.09.59.17.490,0.09326171875,0.09033203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.44798681640625
07.14.09.59.17.615,0.055419921875,0.0478515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.47311669921875
07.14.09.59.17.740,0.050537109375,0.041748046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.47311669921875
07.14.09.59.17.865,0.031494140625,0.0400390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.47311669921875
07.14.09.59.17.990,0.019287109375,0.02001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.485681640625
07.14.09.59.18.115,0.010986328125,0.008544921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.491964111328125
07.14.09.59.18.240,-4.8828125E-4,0.0,0.125,0.0,0.0,0.0,1.0222873900293254,0.8621700879765395,0.9568914956011731,1.0141739980449658,0.0,0.0,0.0,0.0,-0.8803030303030304,-0.8621700879765395,-0.8484848484848484,-0.8587487781036168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.42285693359375
07.14.09.59.18.365,-0.0029296875,-0.001220703125,1.625,1.25,0.625,1.5,2.364809384164223,2.306353861192571,2.287976539589443,2.327272727272727,0.875,1.0,0.875,1.125,-2.0363636363636366,-2.355425219941349,-2.3178885630498534,-2.346041055718475,0.0,0.0,0.0,0.0,11.625,9.25,0.0,0.0,11.178927734375
07.14.09.59.18.490,0.05029296875,0.050048828125,2.25,1.875,1.875,1.875,1.7903225806451615,1.846774193548387,1.8387096774193548,1.8225806451612905,1.375,2.0,2.0,1.875,-1.4677419354838712,-1.846774193548387,-1.8225806451612905,-1.8387096774193548,0.0,0.0,0.0,0.0,17.5,18.125,0.0,0.0,11.76947998046875
07.14.09.59.18.615,0.07177734375,0.077392578125,1.0,0.625,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.125,6.875,0.0,0.0,12.202970458984375
07.14.09.59.18.740,0.090087890625,0.089111328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.875,4.5,0.0,0.0,12.240665283203125
07.14.09.59.18.865,0.0771484375,0.07958984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.375,3.875,0.0,0.0,12.454269287109375
07.14.09.59.18.990,0.0634765625,0.061767578125,2.625,2.125,2.375,2.5,-2.024193548387097,-2.024193548387097,-2.0080645161290325,-2.0,2.5,2.25,2.25,2.125,1.7741935483870968,2.0161290322580645,1.9919354838709675,2.0080645161290325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.964236572265625
07.14.09.59.19.115,-0.012939453125,-0.0146484375,4.25,3.5,3.875,3.625,-2.7091886608015643,-2.6417399804496577,-2.596774193548387,-2.5855327468230693,4.25,4.0,4.0,4.0,2.304496578690127,2.6417399804496577,2.5855327468230693,2.608015640273705,0.0,0.0,0.3202346041055718,0.0,0.0,0.0,0.0,0.0,11.7569150390625
07.14.09.59.19.240,-0.07568359375,-0.08447265625,4.125,3.25,3.75,3.375,-3.1259042033235582,-3.112658846529814,-3.0596774193548386,-3.0464320625610948,3.625,3.5,3.5,3.5,2.5960899315738026,3.09941348973607,3.019941348973607,3.0596774193548386,2.75,2.75,3.2938416422287387,2.935483870967742,0.0,0.0,0.0,0.0,11.568440917968749
07.14.09.59.19.365,-0.15625,-0.161376953125,3.375,2.375,2.5,2.625,-1.4418377321603129,-2.561339198435973,-2.325806451612903,-2.3157380254154445,5.625,3.25,3.375,3.375,4.30791788856305,5.135190615835777,5.036950146627566,5.103225806451613,14.0,9.75,6.187096774193549,5.870967741935484,0.0,0.0,0.0,0.0,10.91506396484375
07.14.09.59.19.490,-0.18701171875,-0.218017578125,16.0,10.875,10.5,11.75,5.928445747800587,4.915591397849463,4.8715053763440865,4.849462365591398,9.375,7.125,7.0,6.875,5.928152492668622,5.989247311827956,5.7986803519061585,5.992424242424243,13.0,11.375,6.351710654936462,6.501515151515153,0.0,0.0,0.0,0.0,8.295273681640625
07.14.09.59.19.615,0.085693359375,-0.30029296875,33.375,37.125,31.5,35.125,7.532258064516129,6.333333333333334,6.23631476050831,6.2119745845552305,19.625,16.875,15.625,13.25,7.159530791788857,7.434897360703813,7.113636363636363,7.38900293255132,8.125,7.5,4.883626588465298,4.913587487781036,0.0,0.0,0.0,0.0,7.981150146484374
07.14.09.59.19.740,0.2763671875,-0.36962890625,25.375,24.0,20.25,22.125,7.113636363636363,7.57258064516129,7.297214076246334,7.38900293255132,28.875,26.875,22.75,20.25,3.9910557184750735,5.659042033235582,5.356109481915933,5.395894428152492,9.25,7.75,5.033431085043989,5.0034701857282515,0.0,0.0,0.0,0.0,9.4198359375
07.14.09.59.19.865,0.38671875,-0.392822265625,33.75,29.5,25.625,27.5,8.7,7.71774193548387,7.437096774193548,7.530645161290323,3.125,0.5,0.5,0.75,-2.849853372434018,-2.132160312805474,-2.0488269794721408,-2.158357771260997,9.0,8.875,0.0,0.0,0.0,0.0,0.0,0.0,8.67850439453125
07.14.09.59.19.990,0.407958984375,-0.16162109375,19.75,20.375,16.375,17.625,6.418181818181819,6.973607038123166,6.540322580645161,5.86275659824047,44.875,45.25,41.125,36.0,-6.5,-9.0,-8.8,-8.830400782013685,0.0,0.0,-0.10381231671554254,0.0,0.0,0.0,0.0,0.0,9.5454853515625
07.14.09.59.20.115,0.44384765625,0.38330078125,2.625,0.125,0.5,0.375,-2.0931573802541545,-2.099022482893451,-2.1745845552297167,-2.339736070381232,25.0,28.625,28.5,21.0,-5.9662756598240465,-8.811730205278593,-8.490469208211143,-8.811730205278593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.22616650390625
07.14.09.59.20.240,0.092041015625,0.4130859375,32.375,30.0,27.125,29.625,-6.594916911045944,-6.594916911045944,-6.344477028347996,-6.0940371456500495,24.75,28.0,25.625,22.75,-6.287536656891495,-7.343108504398827,-6.9300586510263935,-7.113636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.420923095703126
07.14.09.59.20.365,-0.306884765625,0.436279296875,30.625,30.125,25.375,28.875,-7.362903225806451,-7.496774193548387,-7.184408602150538,-7.005913978494624,22.625,24.25,22.375,19.625,-6.471114369501467,-7.75615835777126,-7.434897360703813,-7.618475073313784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.496312744140624
07.14.09.59.20.490,-0.373046875,0.51953125,20.625,20.875,16.375,19.125,-3.4758064516129035,-4.13841642228739,-3.9030303030303033,-3.744672531769306,14.5,19.0,17.0,12.75,-3.3376344086021508,-4.344770283479961,-4.164809384164223,-4.194623655913979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.102450927734374
07.14.09.59.20.615,-0.280029296875,0.458984375,13.25,5.25,5.625,5.875,6.144281524926687,6.413049853372433,6.479276637341153,6.572336265884653,5.375,1.75,1.5,1.5,-5.006451612903227,-6.8269794721407635,-6.741642228739004,-6.8269794721407635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.916151123046875
