Time,L1-AMP,L2-AMP,L3-AMP,L4-AMP,L1-V,L2-V,L3-V,L4-V,R1-AMP,R2-AMP,R3-AMP,R4-AMP,R1-V,R2-V,R3-V,R4-V,Elev_1-AMP,Elev_2-AMP,Elev_1-V,Elev_2-V,Intake_L-AMP,Intake_R-AMP,Climber_1-AMP,Climber_2-AMP,BATTERY
000000.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.617613525390624
000000.3,0.0,0.0,0.0,0.0,-0.8868035190615835,0.0,-0.7974095796676443,0.0,0.0,0.0,0.125,0.0,1.1005376344086022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.330794189453124
00000.35,1.125,0.0,0.875,0.125,-4.877419354838709,-3.895161290322581,-4.563636363636364,-4.38978494623656,2.5,0.375,0.375,0.875,2.9059139784946235,3.72434017595308,3.39941348973607,3.72434017595308,0.0,0.0,0.0,0.0,10.625,11.5,0.0,0.0,10.619787841796875
000000.4,17.125,5.25,13.0,15.75,-8.621700879765395,-8.178054740957966,-8.589589442815251,-8.427419354838708,10.75,4.75,2.625,6.125,8.915591397849463,6.2021505376344095,8.178299120234604,6.619354838709677,0.0,0.0,0.0,0.0,32.625,33.75,0.0,0.0,9.65856982421875
00000.45,21.0,9.0,19.75,19.875,-8.025415444770283,-9.209335288367548,-9.034750733137832,-8.876881720430108,23.375,10.75,6.75,13.375,10.535483870967743,8.830009775171066,10.50615835777126,8.876881720430108,0.0,0.0,0.0,0.0,9.75,9.75,0.0,0.0,10.381053955078125
000000.5,14.625,7.25,15.25,14.75,-8.328445747800586,-8.78651026392962,-8.619941348973608,-8.703225806451613,20.875,11.5,7.75,17.75,7.845161290322582,8.578299120234606,8.049462365591399,8.621505376344086,0.0,0.0,0.0,0.0,9.75,9.75,0.0,0.0,11.109820556640624
00000.55,8.0,1.125,8.375,8.25,-7.2434017595307925,-8.425171065493647,-8.311827956989248,-8.274046920821114,3.125,0.375,5.25,15.375,7.103812316715544,7.782893450635386,7.288807429130011,8.13978494623656,0.0,0.0,0.0,0.0,8.375,8.75,0.0,0.0,11.49305126953125
000000.6,4.625,0.625,5.0,4.75,-7.710068426197458,-8.010997067448681,-7.903225806451613,-7.867302052785924,2.5,0.25,4.0,12.75,6.747214076246336,8.190615835777127,6.922922776148584,7.731182795698925,0.0,0.0,0.0,0.0,7.375,7.0,0.0,0.0,11.675242919921875
00000.65,1.75,0.25,1.75,1.75,-6.914760508308896,-7.030058651026393,-7.10752688172043,-7.075219941348973,1.25,0.25,2.25,9.625,7.345307917888563,7.365982404692082,7.282258064516129,6.935483870967742,0.0,0.0,0.0,0.0,5.625,5.5,0.0,0.0,11.863717041015624
000000.7,1.0,0.0,0.875,0.875,-6.53919843597263,-6.648582600195504,-6.731182795698925,-7.251319648093842,1.625,0.25,2.0,7.625,6.388709677419355,6.797653958944282,6.525806451612905,6.387096774193549,0.0,0.0,0.0,0.0,5.625,5.5,0.0,0.0,11.844869628906249
00000.75,0.5,0.0,0.125,0.375,-6.118670576735093,-6.118670576735093,-6.067253176930596,-6.092961876832845,1.75,0.375,1.125,4.25,6.195796676441838,5.782991202346041,6.064516129032258,5.8033724340175965,0.0,0.0,0.0,0.0,4.125,3.75,0.0,0.0,11.99564892578125
000000.8,0.375,0.0,0.125,0.125,-6.118670576735093,-6.118670576735093,-6.067253176930596,-6.092961876832845,1.75,0.375,1.0,4.125,6.007331378299121,6.170087976539589,5.9824046920821115,5.907624633431086,0.0,0.0,0.0,0.0,4.125,3.75,0.0,0.0,12.102450927734374
00000.85,0.375,0.0,0.125,0.125,-5.397458455522972,-5.758064516129033,-5.709677419354839,-5.733870967741936,2.25,0.5,0.875,3.75,5.465493646138808,5.712609970674487,5.712609970674487,5.455865102639296,0.0,0.0,0.0,0.0,3.5,3.375,0.0,0.0,12.121298339843749
000000.9,0.0,0.0,0.0,0.0,-4.802150537634408,-4.955913978494624,-4.782306940371456,-4.802150537634408,1.5,0.5,0.75,1.625,4.782306940371456,4.996871945259043,4.762463343108504,4.821994134897361,0.0,0.0,0.0,0.0,3.125,3.0,0.0,0.0,12.228100341796875
00000.95,0.0,0.0,0.0,0.0,-4.482795698924731,-4.612903225806451,-4.782306940371456,-4.482795698924731,1.0,0.5,0.625,0.875,4.538367546432062,4.746432062561095,4.746432062561095,4.536950146627566,0.0,0.0,0.0,0.0,3.125,3.0,0.0,0.0,12.228100341796875
000001.0,0.0,0.0,0.0,0.0,-3.8559139784946237,-4.163440860215054,-4.146236559139785,-4.215053763440861,0.625,0.375,0.375,0.75,3.245112414467253,4.007038123167155,3.625415444770284,3.80058651026393,0.0,0.0,0.0,0.0,2.75,2.375,0.0,0.0,12.372597167968749
00001.05,0.0,0.0,0.0,0.0,-3.6163245356793747,-3.7121212121212124,-3.8877810361681333,-3.6163245356793747,0.375,0.25,0.25,0.25,3.6163245356793747,3.757575757575758,3.6969696969696972,3.6458455522971653,0.0,0.0,0.0,0.0,2.5,2.25,0.0,0.0,12.303489990234375
000001.1,0.0,0.0,0.0,0.0,-3.328934506353861,-3.328934506353861,-3.315347018572825,-3.328934506353861,0.375,0.125,0.375,0.25,3.1629521016617788,3.3696969696969696,3.1501466275659826,3.1629521016617788,0.0,0.0,0.0,0.0,2.375,2.125,0.0,0.0,12.328619873046875
00001.15,0.0,0.0,0.0,0.0,-2.790078201368524,-2.790078201368524,-2.778690127077224,-2.790078201368524,0.25,0.125,0.25,0.25,2.6196969696969696,2.824242424242424,2.6090909090909093,2.6196969696969696,0.0,0.0,0.0,0.0,2.125,0.0,0.0,0.0,12.391444580078124
000001.2,0.0,0.0,0.0,0.0,-2.3110948191593352,-2.3393939393939394,-2.320527859237537,-2.3393939393939394,0.125,0.0,0.25,0.0,2.233382209188661,2.2514662756598245,2.2243401759530794,2.1175953079178886,0.0,0.0,0.0,0.0,2.125,0.0,0.0,0.0,12.391444580078124
