04.25.19.13,L-RPM,R-RPM,L1-AMP,L2-AMP,L3-AMP,L4-AMP,L1-V,L2-V,L3-V,L4-V,R1-AMP,R2-AMP,R3-AMP,R4-AMP,R1-V,R2-V,R3-V,R4-V,Elev_1-AMP,Elev_2-AMP,Elev_1-V,Elev_2-V,Intake_L-AMP,Intake_R-AMP,Climber_1-AMP,Climber_2-AMP,BATTERY
00000.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.42285693359375
000000.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.42285693359375
00000.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7757575757575758,0.0,0.0,0.0,0.0,0.0,12.4102919921875
000000.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,-2.2303030303030305,-1.7038123167155426,0.0,0.0,0.0,0.0,12.328619873046875
00000.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.75,-2.957575757575758,-2.434017595307918,0.0,0.0,0.0,0.0,12.2343828125
000000.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,3.5,-4.052003910068426,-3.8162267839687196,0.0,0.0,0.0,0.0,12.052191162109375
00000.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,7.5,-5.465493646138808,-5.008797653958945,0.0,0.0,0.0,0.0,11.725502685546875
000000.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.375,11.375,-6.643401759530792,-6.20136852394917,0.0,0.0,0.0,0.0,11.637548095703124
00000.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.625,14.375,-7.350146627565983,-6.916911045943305,0.0,0.0,0.0,0.0,11.4050966796875
000000.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5,22.375,-8.103030303030303,-8.101661779081134,0.0,0.0,0.0,0.0,11.0030185546875
00000.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.75,25.25,-8.951515151515153,-8.758553274682306,0.0,0.0,0.0,0.0,10.96532373046875
000001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,24.75,-9.757575757575758,-9.853372434017595,0.0,0.0,0.0,0.0,10.99045361328125
00001.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.125,22.625,-9.038123167155426,-9.577712609970675,0.0,0.0,0.0,0.0,11.12866796875
000001.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.25,26.875,-9.038123167155426,-9.577712609970675,0.0,0.0,0.0,0.0,10.86480419921875
00001.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.125,27.5,-9.038123167155426,-9.577712609970675,0.0,0.0,0.0,0.0,10.8522392578125
000001.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,22.125,-9.128054740957968,-9.487781036168133,0.0,0.0,0.0,0.0,11.3548369140625
00001.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.25,20.5,-9.128054740957968,-9.487781036168133,0.0,0.0,0.0,0.0,10.92762890625
000001.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.875,21.125,-9.128054740957968,-9.487781036168133,0.0,0.0,0.0,0.0,11.21662255859375
00001.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.875,21.125,-9.128054740957968,-9.712609970674487,0.0,0.0,0.0,0.0,11.097255615234374
000001.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.625,19.0,-9.39784946236559,-9.712609970674487,0.0,0.0,0.0,0.0,10.8522392578125
00001.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.125,22.125,-9.39784946236559,-9.712609970674487,0.0,0.0,0.0,0.0,10.845956787109374
000001.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.75,22.5,-9.39784946236559,-9.712609970674487,0.0,0.0,0.0,0.0,10.9527587890625
00001.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.25,22.875,-9.30791788856305,-9.712609970674487,0.0,0.0,0.0,0.0,10.808261962890624
000001.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.125,22.25,-9.30791788856305,-9.712609970674487,0.0,0.0,0.0,0.0,10.946476318359375
00001.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.875,20.125,-9.30791788856305,-9.712609970674487,0.0,0.0,0.0,0.0,11.097255615234374
000001.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.125,18.0,-8.731182795698926,-9.524242424242425,0.0,0.0,0.0,0.0,11.046995849609374
