2018.07.13.14.44,L-RPM,R-RPM,L1-AMP,L2-AMP,L3-AMP,L4-AMP,L1-V,L2-V,L3-V,L4-V,R1-AMP,R2-AMP,R3-AMP,R4-AMP,R1-V,R2-V,R3-V,R4-V,Elev_1-AMP,Elev_2-AMP,Elev_1-V,Elev_2-V,Intake_L-AMP,Intake_R-AMP,Climber_1-AMP,Climber_2-AMP,BATTERY
07.13.14.44.39.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.491964111328125
07.13.14.44.39.552,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.479399169921875
07.13.14.44.39.677,0.0,0.0,1.125,0.5,1.0,0.0,3.5225806451612898,3.0914956011730204,3.2877810361681328,3.470185728250244,0.5,0.125,0.5,0.625,-3.117204301075269,-3.5225806451612898,-3.4666666666666663,-3.508602150537634,0.125,0.0,-1.3333333333333335,-1.1531769305962856,0.0,0.0,0.0,0.0,11.819739746093749
07.13.14.44.39.802,0.063232421875,0.069580078125,2.75,1.25,1.0,0.875,3.354838709677419,3.3129032258064517,3.2849462365591395,3.2849462365591395,0.75,0.75,1.0,0.875,-2.893548387096774,-3.3129032258064517,-3.2709677419354835,-3.3129032258064517,7.375,5.125,-4.242424242424242,-3.6604105571847514,0.0,0.0,0.0,0.0,11.712937744140625
07.13.14.44.39.927,0.2978515625,0.290771484375,5.125,1.375,2.125,1.875,-3.354838709677419,-3.3827956989247308,-3.368817204301075,-3.354838709677419,5.25,3.25,3.75,2.25,2.893548387096774,3.3827956989247308,3.3268817204301073,3.3827956989247308,4.375,5.75,-1.7462365591397853,-2.0705767350928643,0.0,0.0,0.0,0.0,11.826022216796874
07.13.14.44.40.052,-0.08837890625,-0.115234375,2.0,1.0,1.125,0.875,-3.2849462365591395,-3.410752688172043,-3.396774193548387,-3.3827956989247308,1.125,0.625,1.0,0.875,2.753763440860215,3.4247311827956985,3.354838709677419,3.396774193548387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.184123046875
07.13.14.44.40.177,-0.297119140625,-0.289306640625,16.125,2.5,3.0,2.875,3.488905180840665,3.8877810361681333,3.8718475073313785,3.8559139784946237,21.0,2.25,2.125,2.125,-2.5995112414467254,-3.1972140762463344,-3.131964809384164,-3.1117302052785925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.857434570312499
07.13.14.44.40.302,0.082763671875,0.095458984375,8.25,0.125,0.125,0.0,0.0,0.0,0.0,0.0,3.625,0.0,0.0,0.0,-0.6231182795698924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.278360107421875
07.13.14.44.40.427,0.095947265625,0.062744140625,3.125,1.5,1.75,1.375,-4.660215053763441,3.054301075268817,3.0295698924731185,3.017204301075269,2.125,2.25,2.125,1.875,5.097311827956989,-2.8490713587487777,-2.7913978494623652,-2.6344086021505375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.926541748046875
07.13.14.44.40.552,0.165283203125,0.197265625,3.75,1.125,1.25,0.75,3.0146627565982405,2.179130009775171,2.0848973607038124,2.1636363636363636,3.875,0.75,0.875,0.75,-2.6661290322580644,-1.9906647116324536,-1.9576246334310852,-2.1818181818181817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.039626220703125
07.13.14.44.40.677,0.208740234375,0.1484375,3.875,2.5,3.0,2.5,5.13782991202346,4.220234604105571,4.538709677419355,4.67624633431085,4.75,5.25,5.25,4.375,-4.228739002932552,-4.662903225806452,-4.582160312805474,-4.501661779081134,0.0,0.0,0.0,0.0,0.0,0.0,2.375,0.0,11.197775146484375
07.13.14.44.40.802,0.27001953125,0.364013671875,6.25,1.0,0.875,0.75,-7.018963831867059,3.6140762463343106,3.387096774193549,3.195161290322581,3.75,3.375,3.5,3.125,-4.594330400782013,-4.098387096774194,-4.0274193548387105,-4.206842619745847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.69409033203125
07.13.14.44.40.927,0.324462890625,0.281982421875,9.625,6.875,6.875,7.0,6.746823069403716,6.4973607038123165,6.374193548387097,6.195894428152492,9.75,5.875,6.625,5.625,-4.754545454545455,-5.879276637341153,-5.77702834799609,-5.802590420332357,0.0,0.0,0.0,0.0,0.0,0.0,2.125,1.875,11.474203857421875
07.13.14.44.41.052,0.502197265625,0.477294921875,20.75,3.625,4.5,3.875,5.890127077223851,5.832844574780059,5.832844574780059,5.758651026392961,12.375,7.875,8.0,7.125,-6.254545454545455,-7.19208211143695,-7.060117302052785,-7.291055718475073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.298294677734374
07.13.14.44.41.177,0.4375,0.459228515625,16.75,8.625,8.125,8.875,-10.95,7.626099706744868,7.229130009775172,7.148582600195504,18.875,6.375,7.375,6.375,-5.86256109481916,-6.41505376344086,-6.200195503421311,-6.353665689149561,0.0,0.0,0.0,0.0,4.25,3.625,2.125,2.125,11.197775146484375
07.13.14.44.41.302,0.563720703125,0.562255859375,21.625,7.75,6.625,6.875,8.803616813294234,7.348973607038124,7.611730205278593,7.521114369501467,15.25,5.75,6.375,6.5,-8.52624633431085,-8.815591397849461,-8.520332355816228,-9.479912023460411,0.0,0.0,0.0,0.0,0.0,0.0,2.125,1.875,10.406183837890625
07.13.14.44.41.427,0.6533203125,0.535400390625,14.875,6.25,6.5,6.875,9.013489736070381,8.049462365591397,7.972434017595309,7.907673509286412,17.75,11.375,10.5,10.0,-7.177565982404691,-7.554740957966764,-7.2791788856304995,-7.5086999022482885,0.0,0.0,0.0,0.0,4.125,3.5,2.375,2.125,9.997823242187499
07.13.14.44.41.552,0.63525390625,0.747802734375,15.75,4.75,6.375,5.25,8.604692082111436,7.719501466275661,7.570332355816227,7.39481915933529,11.25,2.25,3.375,1.875,8.345454545454546,-6.364027370478984,-6.432551319648094,-6.33343108504399,0.0,0.0,0.0,0.0,4.625,4.5,3.0,3.0,10.2993818359375
07.13.14.44.41.677,0.677490234375,0.5517578125,17.5,7.0,7.5,7.875,8.23030303030303,7.675464320625611,7.675464320625611,7.804301075268817,19.875,1.875,1.625,0.75,3.429863147605083,-6.290811339198437,-6.516520039100684,-6.115493646138808,0.0,0.0,0.0,0.0,4.25,3.625,2.625,2.5,10.758002197265625
07.13.14.44.41.802,0.732177734375,0.538818359375,12.875,3.125,2.75,2.5,7.3500000000000005,6.550733137829911,6.121603128054741,6.012609970674488,20.75,17.125,17.25,13.25,8.850000000000001,-8.026686217008798,-7.8677419354838705,-7.9366568914956,0.0,0.0,0.0,0.0,4.125,0.0,2.25,2.0,10.71402490234375
07.13.14.44.41.927,0.617431640625,0.813232421875,16.875,6.625,6.75,6.5,9.057184750733139,6.959530791788855,6.363245356793745,6.417399804496579,16.875,11.625,10.25,9.75,-7.09384164222874,-7.918084066471164,-7.7612903225806456,-7.836950146627565,0.0,0.0,0.0,0.0,4.25,3.5,2.25,2.125,10.732872314453125
07.13.14.44.42.052,0.64501953125,0.78125,18.25,6.75,8.0,7.5,9.14516129032258,9.047409579667644,9.009677419354839,9.265395894428153,13.5,6.25,6.75,5.0,-7.007575757575758,-7.291153470185729,-7.014711632453569,-7.250733137829911,0.0,0.0,0.0,0.0,4.25,3.5,2.5,2.25,8.954933105468749
07.13.14.44.42.177,0.683837890625,0.629150390625,19.75,5.375,5.5,5.625,-10.55,7.878787878787879,7.789736070381233,7.556207233626589,23.0,12.5,11.75,9.5,-7.926686217008798,-8.265102639296188,-8.01681329423265,-7.7810361681329425,0.0,0.0,0.0,0.0,4.75,4.25,3.125,3.0,9.55805029296875
07.13.14.44.42.302,0.712890625,0.64453125,16.125,6.125,6.625,6.0,7.322091886608017,7.384408602150538,7.31236559139785,7.108504398826981,20.5,9.625,7.375,6.875,-6.765395894428153,-7.113929618768329,-7.078885630498535,-7.3801564027370485,0.0,0.0,0.0,0.0,4.125,3.5,2.375,2.25,9.727677001953124
07.13.14.44.42.427,0.684326171875,0.73291015625,15.75,6.25,6.25,6.5,8.13587487781036,8.216031280547408,7.610019550342131,7.829227761485827,17.25,9.125,9.125,7.375,8.523900293255132,-7.818377321603128,-7.779863147605084,-7.76275659824047,0.0,0.0,0.0,0.0,4.5,3.75,2.625,2.5,10.789414550781249
07.13.14.44.42.552,0.6142578125,0.59765625,18.375,7.75,8.375,9.25,7.868572825024437,7.428152492668621,7.717302052785923,7.719159335288368,15.125,8.375,9.75,7.875,-7.238318670576735,-7.304692082111439,-6.977419354838711,-7.355327468230695,0.0,0.0,0.0,0.0,4.875,4.125,3.375,3.0,10.418748779296875
07.13.14.44.42.677,0.72265625,0.737060546875,20.0,4.125,4.25,3.375,6.098387096774193,5.991739980449659,5.633431085043988,5.698729227761485,20.0,6.25,7.125,6.75,-6.963049853372436,-7.043646138807429,-6.743206256109483,-6.683040078201368,0.0,0.0,0.0,0.0,4.625,4.0,2.875,2.875,9.4198359375
07.13.14.44.42.802,0.609130859375,0.552978515625,14.75,4.25,4.5,4.625,6.964662756598241,6.7980938416422285,6.734261974584555,6.606598240469209,21.25,9.625,10.125,8.5,9.600000000000001,-6.60791788856305,-6.477712609970673,-6.671554252199414,0.0,0.0,0.0,0.0,4.125,0.0,2.125,2.0,9.63343994140625
07.13.14.44.42.927,0.504638671875,0.641357421875,16.5,4.125,4.5,4.375,6.505376344086022,6.981036168132943,6.5485826001955045,6.610361681329423,17.375,2.375,3.25,3.0,-4.718181818181819,-5.580645161290322,-5.479178885630499,-5.504545454545455,0.0,0.0,0.0,0.0,4.125,3.5,2.25,2.125,11.009301025390625
07.13.14.44.43.052,0.498046875,0.430908203125,18.0,2.875,2.5,2.625,4.308406647116325,4.9596285434995115,4.476246334310852,4.351124144672531,16.875,6.125,7.125,6.25,-4.715347018572825,-5.806451612903226,-5.72199413489736,-5.7272727272727275,0.0,0.0,0.0,0.0,4.25,3.625,2.25,2.25,10.368489013671875
07.13.14.44.43.177,0.460205078125,0.50439453125,5.75,2.875,3.625,3.125,4.39247311827957,4.505376344086022,4.505376344086022,4.423460410557185,12.5,1.75,2.125,1.5,-3.45386119257087,-4.2316715542522,-4.2316715542522,-4.155425219941349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.335989501953124
07.13.14.44.43.303,0.310791015625,0.289306640625,8.5,2.25,2.875,2.5,3.4774193548387102,3.5376344086021505,3.4924731182795705,3.4774193548387102,10.5,3.125,3.375,3.0,-3.475268817204302,-4.043010752688172,-3.9397849462365593,-3.809970674486804,0.0,0.0,0.0,0.0,0.0,0.0,2.125,2.0,11.39253173828125
07.13.14.44.43.427,0.314453125,0.344482421875,4.875,0.625,0.875,0.75,2.8148093841642234,2.2991202346041053,2.4764418377321604,2.6405669599217987,4.375,0.5,0.625,0.625,2.0821114369501466,-2.6620723362658847,-2.6178885630498536,-1.5131964809384164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.039626220703125
