2018.07.13.15.54,L-RPM,R-RPM,L1-AMP,L2-AMP,L3-AMP,L4-AMP,L1-V,L2-V,L3-V,L4-V,R1-AMP,R2-AMP,R3-AMP,R4-AMP,R1-V,R2-V,R3-V,R4-V,Elev_1-AMP,Elev_2-AMP,Elev_1-V,Elev_2-V,Intake_L-AMP,Intake_R-AMP,Climber_1-AMP,Climber_2-AMP,BATTERY
07.13.15.54.47.738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.686720703125
07.13.15.54.47.863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.67415576171875
07.13.15.54.47.988,0.0,0.0,0.375,0.0,0.0,0.0,2.840273704789834,1.426392961876833,1.5205278592375366,1.6075268817204302,0.0,0.375,0.5,0.625,-3.117204301075269,-2.940371456500489,-3.5225806451612898,-3.5645161290322576,0.0,0.0,-1.1870967741935483,-0.9434995112414468,0.0,0.0,0.0,0.0,12.04590869140625
07.13.15.54.48.113,0.013916015625,0.01953125,5.75,5.75,5.5,6.125,3.5784946236559136,3.5784946236559136,3.5645161290322576,3.536559139784946,4.75,5.75,6.25,5.375,-3.117204301075269,-3.5784946236559136,-3.5225806451612898,-3.5645161290322576,6.25,5.875,-4.154838709677419,-3.5882697947214077,0.0,0.0,0.0,0.0,11.51818115234375
07.13.15.54.48.238,0.1005859375,0.095947265625,2.25,1.75,2.375,1.875,-3.21505376344086,-3.21505376344086,-3.1870967741935483,-3.1731182795698927,3.25,2.25,2.125,2.125,2.6838709677419357,3.243010752688172,3.1591397849462366,3.21505376344086,3.0,2.75,-1.1982404692082114,-1.4709677419354839,0.0,0.0,0.0,0.0,11.4302265625
07.13.15.54.48.363,0.019775390625,0.002685546875,7.25,8.0,7.5,8.5,-3.1870967741935483,-3.1870967741935483,-3.117204301075269,-3.117204301075269,6.125,7.5,8.125,7.75,2.739784946236559,3.1870967741935483,3.117204301075269,3.1311827956989244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.61870068359375
07.13.15.54.48.488,-0.064208984375,-0.06396484375,2.75,1.0,1.0,1.0,4.648973607038124,1.3508797653958946,1.460410557184751,1.4486803519061584,1.0,0.5,0.625,0.75,-1.3363636363636366,-1.5395894428152492,-1.5087976539589443,-1.5272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2595126953125
07.13.15.54.48.613,-0.04833984375,-0.044189453125,6.625,6.125,5.75,6.75,3.748387096774194,3.748387096774194,3.748387096774194,3.372043010752688,5.625,7.5,7.375,7.0,-3.6272727272727274,-3.760703812316715,-3.629325513196481,-3.727859237536657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.524463623046875
07.13.15.54.48.738,0.079345703125,0.085693359375,9.0,9.625,8.375,9.75,5.43147605083089,5.025464320625611,5.047996089931574,4.904789833822091,7.625,4.375,4.25,4.25,0.0,-3.98455522971652,-3.845356793743891,-3.9275659824046927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.896216552734375
07.13.15.54.48.863,0.159912109375,0.14306640625,9.375,13.5,12.125,14.0,6.403616813294233,5.112121212121213,4.865102639296188,5.10117302052786,6.5,13.75,13.125,12.25,-4.6430107526881725,-5.084310850439882,-4.991446725317693,-5.231573802541545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.657482666015625
07.13.15.54.48.988,0.27978515625,0.277099609375,11.5,19.625,18.125,20.125,7.334799608993157,7.060117302052785,6.928152492668621,6.763196480938416,2.75,4.75,2.375,2.25,-2.0904203323558166,-2.7872922776148585,-2.4120234604105573,-2.423509286412512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.996736083984375
07.13.15.54.49.113,0.378173828125,0.291015625,14.0,17.0,15.625,17.375,-8.45425219941349,6.97781036168133,6.548387096774194,6.640469208211144,10.75,0.625,0.75,0.875,1.289833822091887,1.1933528836754643,1.4086021505376345,1.5150048875855326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.197775146484375
07.13.15.54.49.238,0.430419921875,0.1005859375,13.75,4.5,4.25,4.125,4.582160312805474,4.2234115347018575,3.93108504398827,3.958944281524927,7.75,6.25,6.625,6.125,2.1615835777126096,2.43049853372434,2.3870967741935485,2.517741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.725502685546875
07.13.15.54.49.363,0.3837890625,-0.013916015625,4.625,0.5,0.625,0.25,-9.16739980449658,1.6328445747800586,1.6258064516129032,1.6046920821114368,2.625,3.375,3.625,3.625,1.7612903225806453,2.131769305962855,2.04594330400782,2.04594330400782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.882564453125
07.13.15.54.49.488,0.2490234375,-0.031005859375,4.25,0.0,0.0,0.0,0.0,-0.8741446725317694,-0.8705767350928643,-0.9580645161290322,1.25,1.5,1.75,1.625,1.3303519061583577,1.5447214076246334,1.5195014662756599,1.5384164222873902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.265795166015625
07.13.15.54.49.613,0.11376953125,-0.02880859375,2.75,1.5,1.5,1.625,-1.3333333333333335,-1.3225806451612905,-1.3118279569892475,-1.3118279569892475,0.0,0.125,0.25,0.375,0.6380254154447703,0.7364125122189639,0.7244868035190616,0.7304496578690127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.328619873046875
07.13.15.54.49.739,-0.0126953125,-0.01708984375,0.125,0.0,0.0,0.0,-0.7151515151515151,-0.723802541544477,-0.7180351906158358,-0.6545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.435421875
07.13.15.54.49.863,-0.0263671875,-0.015625,0.125,0.0,0.0,0.0,0.5888563049853373,0.8955522971652006,0.8884164222873902,0.7878787878787878,0.0,0.0,0.0,0.125,-0.5642228739002932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.39772705078125
07.13.15.54.49.988,-0.01513671875,-0.0126953125,1.75,1.125,1.5,1.25,2.303030303030303,2.1959433040078205,2.1784457478005868,2.16969696969697,0.625,1.875,2.0,1.875,-2.2069403714565006,-1.8524437927663737,-1.4728250244379277,-1.5821114369501468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.983083984375
07.13.15.54.50.113,0.042236328125,0.043701171875,4.75,5.875,5.75,6.5,-0.6349951124144674,3.197067448680352,3.0913000977517107,3.1680351906158353,3.625,4.75,4.875,4.625,-3.465395894428153,-3.7029814271749752,-3.6255131964809384,-3.7487781036168135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.461638916015625
07.13.15.54.50.238,0.121826171875,0.113037109375,6.25,6.75,6.5,7.875,5.045943304007821,4.629032258064516,4.658064516129032,4.508797653958944,4.5,7.25,6.75,6.625,2.7150537634408605,-4.710166177908114,-4.628250244379277,-4.548875855327468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.984171142578125
07.13.15.54.50.363,0.214111328125,0.22265625,7.625,9.625,9.5,10.625,-4.504496578690127,5.4306451612903235,5.360117302052786,5.201612903225806,4.875,8.75,8.75,8.125,4.041055718475073,-4.429130009775171,-4.2637341153470185,-4.169403714565005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.065843261718749
07.13.15.54.50.488,0.296630859375,0.2861328125,8.5,8.375,7.75,8.375,6.370381231671553,5.209872922776149,5.167644183773216,5.433186705767351,6.625,6.125,5.625,5.375,-4.746871945259043,-5.421554252199414,-5.301075268817204,-5.325171065493647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.921346435546875
07.13.15.54.50.613,0.35986328125,0.3427734375,10.5,9.0,9.125,10.625,6.877468230694038,6.78494623655914,6.6615835777126104,6.6615835777126104,7.125,6.125,5.75,5.125,-5.459384164222874,-5.642228739002933,-5.489736070381232,-5.625806451612903,0.0,0.0,-0.426197458455523,0.0,0.0,0.0,0.0,0.0,10.814544433593749
07.13.15.54.50.738,0.396240234375,0.37646484375,12.375,7.625,7.25,7.625,-8.065493646138808,4.704203323558163,4.629032258064516,4.674193548387097,10.5,10.75,11.375,9.625,-5.992668621700879,-6.909579667644184,-6.7785923753665696,-6.788709677419355,36.75,1.375,-8.7683284457478,-2.6607038123167155,0.0,0.0,0.0,0.0,9.68369970703125
07.13.15.54.50.863,0.426025390625,0.431640625,12.375,2.25,2.125,2.125,3.71544477028348,3.1883675464320627,3.5565982404692087,3.5660801564027373,12.375,12.125,13.75,12.625,-6.5053274682306945,-7.401270772238514,-7.371554252199413,-7.32336265884653,77.375,9.125,-8.7683284457478,-4.5516129032258075,0.0,0.0,2.125,1.875,9.6460048828125
