Time, L1-AMPERAGE, L2-AMPERAGE,L3-AMPERAGE,L4-AMPERAGE,R1-AMPERAGE,R2-AMPERAGE,R3-AMPERAGE,R4-AMPERAGE, BATTERY
000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.435421875
00000.14,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.42285693359375
00000.16,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.435421875
000000.2,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.435421875
00000.22,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.435421875
00000.24,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.44798681640625
00000.26,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.44798681640625
00000.28,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.441704345703124
000000.3,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.435421875
00000.32,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.44798681640625
00000.34,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.44798681640625
00000.36,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.441704345703124
00000.38,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.441704345703124
000000.4,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.44798681640625
00000.42,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.4605517578125
00000.44,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.44798681640625
00000.46,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.454269287109375
00000.48,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.454269287109375
000000.5,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.44798681640625
00000.52,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.435421875
00000.54,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.441704345703124
00000.56,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.42285693359375
00000.58,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.441704345703124
000000.6,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.441704345703124
00000.62,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.435421875
00000.64,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.454269287109375
00000.68,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.454269287109375
000000.7,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.441704345703124
00000.72,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.441704345703124
00000.74,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.435421875
00000.76,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.441704345703124
00000.78,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.435421875
000000.8,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.441704345703124
00000.82,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.454269287109375
00000.84,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.44798681640625
00000.86,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.44798681640625
00000.88,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.441704345703124
000000.9,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.435421875
00000.92,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.4102919921875
00000.96,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.404009521484374
00000.98,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.378879638671874
000001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.372597167968749
00001.02,0.125,0.0,0.0,0.0,0.125,0.0,0.125,0.0,12.385162109374999
00001.04,0.125,0.0,0.0,0.0,0.125,0.0,0.125,0.0,12.385162109374999
00001.06,0.125,0.0,0.0,0.125,0.125,0.0,0.125,0.0,12.378879638671874
000001.1,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,12.378879638671874
00001.12,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,12.385162109374999
00001.14,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.0,12.372597167968749
00001.16,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.0,12.391444580078124
00001.18,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.0,12.391444580078124
000001.2,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.0,12.378879638671874
00001.22,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,12.385162109374999
00001.24,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.391444580078124
00001.26,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.372597167968749
