Time, L1-AMPERAGE, L2-AMPERAGE,L3-AMPERAGE,L4-AMPERAGE,R1-AMPERAGE,R2-AMPERAGE,R3-AMPERAGE,R4-AMPERAGE, BATTERY
000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.504529052734375,
00000.14,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.504529052734375,
00000.16,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.504529052734375,
00000.18,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.504529052734375,
000000.2,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.504529052734375,
00000.22,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.5108115234375,
00000.24,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.49824658203125,
00000.26,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.49824658203125,
00000.28,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.5108115234375,
000000.3,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.504529052734375,
00000.32,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.485681640625,
00000.34,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.491964111328125,
00000.36,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.49824658203125,
00000.38,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.491964111328125,
000000.4,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.491964111328125,
00000.42,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.485681640625,
00000.44,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.49824658203125,
00000.46,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.49824658203125,
00000.46,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.49824658203125,
00000.48,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.485681640625,
000000.5,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.504529052734375,
00000.52,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.504529052734375,
00000.54,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.504529052734375,
