Time,leftPos,leftSpeed,rightPos,rightSpeed
20,0,0,0,0
00000.02,679383.0,0.0,-688002.0,0.0,
00000.04,679383.0,0.0,-688002.0,0.0,
00000.06,679383.0,0.0,-688002.0,0.0,
00000.08,679383.0,0.0,-688002.0,0.0,
000000.1,679383.0,0.0,-688002.0,0.0,
00000.12,679383.0,0.0,-688002.0,0.0,
00000.14,679383.0,0.0,-688002.0,0.0,
00000.16,679383.0,0.0,-688001.0,0.0,
00000.18,679383.0,0.0,-688002.0,0.0,
000000.2,679383.0,0.0,-688001.0,0.0,
00000.22,679383.0,0.0,-688001.0,0.0,
00000.24,679383.0,0.0,-688002.0,0.0,
00000.26,679383.0,0.0,-688001.0,0.0,
00000.28,679383.0,0.0,-688001.0,0.0,
000000.3,679383.0,0.0,-688002.0,0.0,
00000.32,679383.0,0.0,-688002.0,0.0,
00000.34,679383.0,0.0,-688001.0,0.0,
00000.36,679383.0,0.0,-688002.0,0.0,
00000.38,679383.0,0.0,-688002.0,0.0,
000000.4,679383.0,0.0,-688002.0,0.0,
00000.42,679383.0,0.0,-688001.0,0.0,
00000.44,679383.0,0.0,-688001.0,0.0,
00000.46,679383.0,0.0,-688001.0,0.0,
00000.48,679383.0,0.0,-688001.0,0.0,
00000.52,679383.0,0.0,-688001.0,0.0,
00000.54,679383.0,0.0,-688002.0,0.0,
00000.56,679383.0,0.0,-688002.0,0.0,
00000.58,679383.0,0.0,-688002.0,0.0,
000000.6,679383.0,0.0,-688002.0,0.0,
00000.62,679383.0,0.0,-688002.0,0.0,
00000.64,679383.0,0.0,-688002.0,0.0,
00000.68,679383.0,0.0,-688002.0,0.0,
000000.7,679383.0,0.0,-688002.0,0.0,
00000.72,679383.0,0.0,-688002.0,0.0,
00000.76,679383.0,0.0,-688002.0,0.0,
00000.78,679383.0,0.0,-688002.0,0.0,
000000.8,679383.0,0.0,-688002.0,0.0,
00000.82,679383.0,0.0,-688002.0,0.0,
